configuration,metric,mean,sample_std,seed_20260728
rsg_unweighted,fused_accuracy,0.7609034267912772,0.0,0.7609034267912772
rsg_unweighted,oracle_accuracy,0.7850467289719626,0.0,0.7850467289719626
rsg_unweighted,expert_prediction_disagreement_rate,0.06542056074766354,0.0,0.06542056074766354
rsg_unweighted,one_right_one_wrong_rate,0.05685358255451713,0.0,0.05685358255451713
rsg_unweighted,one_right_gate_selection_accuracy,0.6301369863013698,0.0,0.6301369863013698
rsg_unweighted,mean_routing_regret_nll,0.08242403115264797,0.0,0.08242403115264797
rsg_unweighted,complementarity_recovery,-0.19230769230769695,0.0,-0.19230769230769695
rsg_coupled_gate,accuracy,0.7546728971962616,0.0,0.7546728971962616
rsg_coupled_gate,macro_f1,0.7404610681708386,0.0,0.7404610681708386
rsg_coupled_gate,target_recall,0.7330677290836654,0.0,0.7330677290836654
rsg_coupled_gate,target_miss_rate,0.26693227091633465,0.0,0.26693227091633465
rsg_coupled_gate,ti_to_target_intrusion_rate,0.10183299389002037,0.0,0.10183299389002037
rsg_coupled_gate,metallic_to_target_intrusion_rate,0.11931818181818182,0.0,0.11931818181818182
rsg_coupled_gate,direct_accuracy,0.7554517133956387,0.0,0.7554517133956387
rsg_coupled_gate,mapped_accuracy,0.7577881619937694,0.0,0.7577881619937694
rsg_coupled_gate,fused_accuracy,0.7546728971962616,0.0,0.7546728971962616
rsg_coupled_gate,oracle_accuracy,0.780373831775701,0.0,0.780373831775701
rsg_coupled_gate,expert_prediction_disagreement_rate,0.05685358255451713,0.0,0.05685358255451713
rsg_coupled_gate,one_right_one_wrong_rate,0.04750778816199377,0.0,0.04750778816199377
rsg_coupled_gate,one_right_gate_selection_accuracy,0.4426229508196721,0.0,0.4426229508196721
rsg_coupled_gate,mean_routing_regret_nll,0.0757743761682243,0.0,0.0757743761682243
rsg_coupled_gate,complementarity_recovery,-0.13793103448275812,0.0,-0.13793103448275812
