reference,comparison,metric,reference_mean,comparison_mean,difference,favorable_direction,oriented_improvement
hrgv_reference,rsg_unweighted,metallic_to_target_intrusion_rate,0.10227272727272728,0.11931818181818182,0.017045454545454544,-1,-0.017045454545454544
hrgv_reference,rsg_unweighted,direct_accuracy,0.7570093457943925,0.7484423676012462,-0.008566978193146335,0,-0.0
hrgv_reference,rsg_unweighted,mapped_accuracy,0.7609034267912772,0.764797507788162,0.003894080996884819,0,0.0
hrgv_reference,rsg_unweighted,fused_accuracy,0.7671339563862928,0.7609034267912772,-0.006230529595015577,1,-0.006230529595015577
hrgv_reference,rsg_unweighted,oracle_accuracy,0.7873831775700935,0.7850467289719626,-0.002336448598130869,0,-0.0
hrgv_reference,rsg_unweighted,expert_prediction_disagreement_rate,0.06074766355140187,0.06542056074766354,0.004672897196261676,0,0.0
hrgv_reference,rsg_unweighted,one_right_one_wrong_rate,0.05685358255451713,0.05685358255451713,0.0,0,0.0
hrgv_reference,rsg_unweighted,one_right_gate_selection_accuracy,0.4383561643835616,0.6301369863013698,0.1917808219178082,1,0.1917808219178082
hrgv_reference,rsg_unweighted,mean_routing_regret_nll,0.10088592289719626,0.08242403115264797,-0.018461891744548292,-1,0.018461891744548292
hrgv_reference,rsg_unweighted,complementarity_recovery,0.23529411764705832,-0.19230769230769695,-0.4276018099547553,1,-0.4276018099547553
hrgv_reference,rsg_coupled_gate,accuracy,0.7671339563862928,0.7546728971962616,-0.012461059190031154,1,-0.012461059190031154
hrgv_reference,rsg_coupled_gate,macro_f1,0.7493888243636889,0.7404610681708386,-0.008927756192850356,1,-0.008927756192850356
hrgv_reference,rsg_coupled_gate,target_recall,0.7051792828685259,0.7330677290836654,0.027888446215139417,1,0.027888446215139417
hrgv_reference,rsg_coupled_gate,target_miss_rate,0.29482071713147406,0.26693227091633465,-0.027888446215139417,-1,0.027888446215139417
hrgv_reference,rsg_coupled_gate,ti_to_target_intrusion_rate,0.0814663951120163,0.10183299389002037,0.020366598778004077,-1,-0.020366598778004077
hrgv_reference,rsg_coupled_gate,metallic_to_target_intrusion_rate,0.10227272727272728,0.11931818181818182,0.017045454545454544,-1,-0.017045454545454544
hrgv_reference,rsg_coupled_gate,direct_accuracy,0.7570093457943925,0.7554517133956387,-0.0015576323987538387,0,-0.0
hrgv_reference,rsg_coupled_gate,mapped_accuracy,0.7609034267912772,0.7577881619937694,-0.0031152647975077885,0,-0.0
hrgv_reference,rsg_coupled_gate,fused_accuracy,0.7671339563862928,0.7546728971962616,-0.012461059190031154,1,-0.012461059190031154
hrgv_reference,rsg_coupled_gate,oracle_accuracy,0.7873831775700935,0.780373831775701,-0.007009345794392496,0,-0.0
hrgv_reference,rsg_coupled_gate,expert_prediction_disagreement_rate,0.06074766355140187,0.05685358255451713,-0.0038940809968847356,0,-0.0
hrgv_reference,rsg_coupled_gate,one_right_one_wrong_rate,0.05685358255451713,0.04750778816199377,-0.009345794392523366,0,-0.0
hrgv_reference,rsg_coupled_gate,one_right_gate_selection_accuracy,0.4383561643835616,0.4426229508196721,0.0042667864361105035,1,0.0042667864361105035
hrgv_reference,rsg_coupled_gate,mean_routing_regret_nll,0.10088592289719626,0.0757743761682243,-0.025111546728971965,-1,0.025111546728971965
hrgv_reference,rsg_coupled_gate,complementarity_recovery,0.23529411764705832,-0.13793103448275812,-0.37322515212981644,1,-0.37322515212981644
