bootstrap_index,accuracy,macro_f1,target_recall,target_miss_rate,ti_to_target_intrusion,metallic_to_target_intrusion
157,0.03686396677050877,0.038743721459903645,-0.13014608233731742,0.13014608233731742,-0.05431093007467753,-0.08901515151515152
158,0.012980269989615767,0.014799429168484831,-0.059760956175298786,0.059760956175298786,-0.014256619144602856,-0.03977272727272727
159,0.009865005192107978,0.009274143078717692,-0.07304116865869852,0.07304116865869852,-0.01832993890020367,-0.02083333333333334
160,0.0007788161993769194,0.004619931886800062,-0.03851261620185927,0.03851261620185927,-0.0033944331296673533,-0.024621212121212124
161,0.036863966770508814,0.038628479481395216,-0.049136786188578974,0.049136786188578974,-0.027834351663272226,-0.03977272727272727
162,-0.01427829698857741,-0.011202243838807044,-0.05179282868525892,0.05179282868525892,0.026476578411405285,-0.02272727272727273
163,-0.002076843198338526,0.0018227204003878894,-0.059760956175298786,0.059760956175298786,-0.004073319755600821,-0.028409090909090915
164,0.004672897196261701,0.0049874521387995125,-0.07171314741035857,0.07171314741035857,0.0013577732518669366,-0.028409090909090908
165,0.02180685358255452,0.017161637481762654,-0.07702523240371846,0.07702523240371846,-0.04480651731160896,-0.0284090909090909
166,0.012720664589823424,0.015638544055897523,-0.07702523240371846,0.07702523240371846,-0.023761031907671412,-0.04734848484848485
167,0.024662512980269963,0.023779913630252076,-0.08100929614873842,0.08100929614873842,-0.04548540393754243,-0.041666666666666664
168,0.03271028037383176,0.029751853702807973,-0.10491367861885792,0.10491367861885792,-0.0441276306856755,-0.05303030303030304
169,-0.017393561786085126,-0.013366229633073545,-0.06374501992031871,0.06374501992031871,0.012898845892735912,-0.030303030303030304
170,-0.003894080996884708,0.0007522199960759979,-0.04913678618857901,0.04913678618857901,0.011541072640868974,-0.03598484848484849
171,0.009865005192108015,0.008747826281633583,-0.0305444887118194,0.0305444887118194,-0.015614392396469792,-0.034090909090909095
172,0.042056074766355124,0.043806545596334345,-0.04913678618857905,0.04913678618857905,-0.04548540393754242,-0.034090909090909095
173,-0.00571131879543089,-0.0021874791665385715,-0.0398406374501992,0.0398406374501992,0.0074677528852681585,-0.030303030303030307
174,0.03738317757009346,0.03537707323104481,-0.047808764940239,0.047808764940239,-0.04752206381534284,-0.03598484848484849
175,-0.004672897196261701,-0.0036356922516773325,-0.03452855245683928,0.03452855245683928,-0.0033944331296673486,-0.03977272727272728
176,0.01791277258566974,0.017181301034142393,-0.09163346613545816,0.09163346613545816,-0.031907671418873046,-0.06628787878787878
177,0.011941848390446541,0.014299481589357491,-0.0690571049136786,0.0690571049136786,0.000678886625933466,-0.024621212121212127
178,-0.003374870197300095,-0.0012338609996398093,-0.006640106241699861,0.006640106241699861,0.0033944331296673486,-0.009469696969696966
179,0.006749740394600264,0.009917642371331156,-0.022576361221779567,0.022576361221779567,-0.004752206381534285,-0.030303030303030304
180,0.002855659397715519,-0.0016384305325038984,-0.07304116865869852,0.07304116865869852,-0.01832993890020367,-0.013257575757575746
181,-0.00830737279335414,-0.0069151673795119955,-0.014608233731739695,0.014608233731739695,0.013577732518669386,-0.015151515151515147
